Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Isokrates,"1,8","1,7","0,1","25,7","21,7","3,5","0,6","1,9",1,"0,9","5,7","2,8","1,7","1,2","15,1","9,2","2,7","3,1","0,1","2,7","1,4","0,6","0,7","1,7","1,4","0,3","11,6","3,9","1,93","1,93",0
Xenophon (hist),"0,5","0,2","0,2","6,7","6,5","0,2",0,"0,2","0,1","0,2","1,1","0,1","0,3","0,7","2,1","1,3",0,"0,6","0,1","0,1",0,"0,1",0,"0,6","0,6",0,"42,5","3,5","3,41",0,"0,08"
Xenophon (alia),"1,6",0,"1,6","11,8","10,4","1,5",0,"4,5","1,7","2,8",5,"1,7","1,8","1,5","5,4","2,7","0,4","2,1","0,2","1,1","0,3",0,"0,8","0,6","0,5","0,1","27,5","15,4","13,23","1,44","0,77"
Drama (sum),1,"0,3","0,4","11,3","10,8",0,"0,5","9,7","0,7",9,"4,4","0,2","2,7","1,4","9,1","7,3","0,1","0,3","1,5","2,4","0,4","0,8","1,3","1,8","1,8",0,"8,9","2,9",,,
"Epik, Lyrik (sum)","0,8","0,8",0,"1,9","1,8",0,0,"3,3","1,3",2,"0,8","0,2","0,6",0,"4,9","4,5",0,0,"0,3","0,3","0,1",0,"0,2","0,2","0,2",0,"12,1","2,4",,,
Historie,"0,7","0,2","0,5","10,6","9,6","0,3","0,7","1,3","0,6","0,7","1,5","0,2","0,9","0,5","2,2","1,8",0,"0,3","0,1","0,5","0,2","0,1","0,2","1,2",,,,,,,
Presocratics,"3,6","1,8","1,8",16,"14,7","1,3",0,20,4,16,"4,9","2,2","1,3","1,3",12,"7,1","1,8","0,9","2,2","0,4",0,0,"0,4",0,,,,,,,
Samtidige,"6,8","2,4","4,5","18,8","14,9","3,8","0,1","8,9","3,3","5,6","6,5",3,"2,1","1,3","7,8",3,"2,6","2,1","0,1","0,8","0,3","0,1","0,4","2,5",,,,,,,
Platon,"9,9","3,4","6,5","19,7",15,"4,7","0,1","12,2","4,4","7,7","7,2","3,5","2,4","1,3",7,"1,6","3,4","1,9",0,"0,3","0,1","0,1","0,2","3,3","2,9","0,5",0,0,0,0,0
Platon inkl. Sp.,"9,1","3,1",6,"20,2","15,6","4,6","0,1","12,6","4,1","8,5",7,"3,4","2,4","1,3",7,"1,6","3,2","2,1","0,1","0,4","0,1","0,1","0,2","3,1","2,7","0,4",0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,1,"0,4","0,5","13,1","12,3","0,6","0,3","6,5","1,9","4,6","3,3","0,8","1,8","0,8","6,3","4,4","0,7","0,4","0,8","1,5","0,5","0,3","0,8","1,6","1,6",0,"9,7","4,4",4,"0,4","0,1"
Std. Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homer,"3,41","1,35","20,91","297,47","262,16","22,28","16,14","172,79","30,62","145,29","83,6","12,53","42,01","32,74","4,13","0,9","14,55","25,69","21,82","45,92","12,05","10,91","22,96","29,47","28,23","1,36","4,32","39,94","28,99","18,19","1,1"
Hesiod,"1,81","0,07","3,12","18,8","15,04","3,32","2,4","15,71","1,63","14,9","16,73","3,49","8,4","4,88","10,17","4,6","2,17","3,83","3,25","6,84","1,8","1,63","3,42","6,37","6,16","0,2","11,57","13,34","10,68","2,71","0,71"
